scenario,source_model,source_type,tradition,axis,unit_id,checkpoint,checkpoint_scaled,lexical_density,moving_average_type_token_ratio,vocabulary_richness,mean_sentence_length,punctuation_rate,clause_density,valence,arousal,dominance,emotion_joy,emotion_sadness,emotion_fear,emotion_anger,emotion_awe,emotion_longing,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,embedding_08,embedding_09,embedding_10,embedding_11,embedding_12,rasa_sringara,rasa_karuna,rasa_shanta,rasa_bhakti,viraha_longing,monsoon_affect
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P03,9,0.6,0.6429506488865865,0.7309917379671327,0.1258804815350119,-0.06258479486013338,0.2351761186204394,-0.056216359509743186,0.0487975701436153,-0.053596311013218795,-0.06920657133218733,0.22246861291803124,0.13895735553693808,-0.5557285576251327,-0.1461708933459682,0.2406966052455229,0.6674805345581879,0.7334125071420481,0.5687442660067684,-0.4878856562338816,0.47099643321734264,-0.38218805989475674,-0.5078122364707954,-0.037503175390273535,0.006600311139934395,0.8414421995871789,0.3100122324026901,0.003679130944140449,0.182140356629215,-0.1402077957851596,0.18781550332217595,0.6360587029176663,1.244887214104108,-0.15882771239806748,0.5174389181798124
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P03,12,0.8,0.30128085823570594,0.8484058282355996,0.19932098655177985,-0.2614876094224217,0.6083898259210245,-0.03350092991272632,0.5193015577915561,-0.5846475408733529,0.5270752004772614,0.154416150633581,-0.17883577801812364,-0.25431270591007343,0.27269250830686476,0.6070377259207728,0.7376265314845123,0.46777304718560875,0.18365929076998017,-0.4142494262961111,0.46381636898859285,-0.3956760275990451,-0.7894239656139839,-0.34937192040412296,0.23536040983251783,0.5388051417364788,0.3937347588236435,0.32890585439089126,-0.21129783663895568,0.3144981758106562,0.20512225209048127,0.46848103906877525,1.1349732203294853,-0.5223575166204917,0.4122226687249247
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P03,15,1.0,0.06450495713518017,0.5210634255926901,0.1298013383269005,-0.19117444093916527,0.2510635907100259,0.12967157386173161,0.19991700852832905,0.3307546897102561,0.38954561754737566,-0.024913948120696094,-0.21349855896105177,-0.554001716261385,0.12398214213071285,0.4479116703461158,0.5677715185847285,0.7966599277916876,0.2875941755054216,-0.16048741075486309,0.09652214781642475,-0.35358110889312355,-0.7207555570236119,-0.3401221968544616,0.2613920748120867,0.9523768912033358,0.6008426162314986,-0.14587545036256866,-0.0005988320584812135,-0.10498644467395749,0.04030791034243224,0.34378395394009664,1.4030676708612624,-0.7442335674223106,0.33758099455567503
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P04,0,0.0,0.11497791490971039,0.30689905889404256,-0.3710726697835501,0.6217441540236672,1.0550726648131583,-0.2354688457457228,-0.048239942123531554,-0.4353729805054871,-0.08528473204546119,0.26981222736901866,0.2043424643629702,-0.6420871959327232,-0.42505756658168103,0.6740024260457885,0.05445720488326156,0.5746230847825343,0.4086292161401782,-0.3216508118114674,-0.417092287338246,0.5820896365510071,0.21632501501069099,0.211458635954925,0.06872510562990143,0.378093625116358,1.2667027946375362,0.19298998745145168,0.12508679234875536,-0.7892395634446414,-0.48785443238687054,0.45282017002395075,0.4109607208677851,-0.09501158186573537,0.1361335600791985
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P04,3,0.2,0.2806624974610722,0.16031816546773592,-0.13845585279122774,0.4996263978902764,0.5166488160539278,-0.375649474029523,-0.137696321244006,-0.696550399945589,-0.5926591870406022,0.28705648013483137,0.29395617479950803,-0.5309328318987183,-0.5117750753302412,0.8948806190159375,-0.004826392688755229,0.550566640991099,0.5635472821071503,-0.05039085024553235,-0.36668561588312043,0.406149073523764,0.2812591084885615,-0.022450310264853446,-0.04382194837336392,0.24500112071657898,0.8030573958196356,0.2467477172783677,0.3682974613315544,-0.5648700851188209,0.10597365818693971,0.6222927076769151,0.5731227000951773,0.007394171224284624,-0.21360989275936848
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P04,6,0.4,0.14972586424244272,-0.09424004564001662,-0.3586157863989657,0.5967523863908695,0.5451532123355485,-0.31063163629235857,0.0704164043660106,-0.591842998604356,-0.1270768942457733,0.38723460561977113,-0.15371963961060084,-0.5694763495794427,-0.5843684216273549,0.8286171445337687,0.44668852113492663,0.4487739289433901,0.3959009478309146,-0.11045862302989926,-0.41002120704131434,0.24923830070865605,0.35275264201533596,0.1663991881461704,0.34609622200525736,0.15458649353304607,1.102764214642581,0.14919278308576767,-0.0938104085015402,-0.22227712675002315,-0.4831165705417537,0.2681628211433469,0.18782693805035533,-0.12037950116073821,0.21871386553072195
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P04,9,0.6,0.15922845084235973,0.4291491177127442,-0.09213224244944276,0.36823699301048984,0.8222992577406791,-0.201101525891197,-0.3840003403475928,-0.48658341537153543,-0.25103314886142664,0.5195434107304671,0.3063367348401771,-0.37313940212400826,-0.42819695906200056,0.9247303445728083,0.08124136553199085,0.909553858504337,0.38648932133472136,-0.20547168682883415,-0.15690300115297812,0.29112979424252433,0.3167512492990631,0.40538722571335606,0.19457867834187625,0.17981853577474644,0.9991329413965058,0.24142240612730015,-0.027375952049379863,-0.4252475425761987,-0.21063055913688583,0.5236405150310779,0.002995162821467112,-0.0246637651116109,0.7369924086012505
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P04,12,0.8,0.1716158521507352,0.17939702955538442,-0.21023507465169722,0.5135745434070922,0.8597213404595991,-0.14004185870209399,0.25817255986922866,-0.6263638976634498,-0.38280690920892935,0.36511361735137604,0.05271005303819572,-0.34981394258212006,0.06873309887751239,0.6684200037540369,-0.24968435578920076,0.7148352633604886,0.20481403839708667,-0.19258191680315767,-0.17702524964043426,0.20321634788158033,0.3241057119707139,0.025259639670563883,0.4801741512849333,0.14906555152181006,1.126835988955835,0.1619423126924843,0.27185671036695386,-0.2760108313903883,-0.10870730111165089,0.5734639619492706,0.46914570208682577,0.21510549698374354,0.12142295446591539
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P04,15,1.0,-0.014182571632843338,0.1897727129323122,-0.4173004905299886,0.38520909516584106,0.29008854301300224,-0.06660405906106495,0.2250101783568607,-0.4040410697899156,-0.10198690738686608,0.19462589114322323,0.23138362522136113,-0.318846865787688,-0.1415973370498208,0.44125876321714363,-0.05144373986567941,0.2679599534086812,0.5274481015803035,0.13077358728361319,-0.07786534199380102,0.0734677528072468,0.6486834248497382,-0.001344512620679611,-0.08158825954909127,0.3667115982033947,1.0324381304833,0.02913636573466588,-0.2595248568881246,-0.5730449076794238,-0.5107672465074891,0.5811477030204849,0.8992332292727018,0.388590728502874,-0.1624423844569235
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P05,0,0.0,0.146679115903112,0.10414210225991982,-0.5976679246800928,-0.1529852290114549,-0.4623680419714684,-0.4760875326467099,0.316702152562665,-0.32526959397193667,-0.5796660448880775,0.2225251672695104,-0.6929558287415492,0.24938436765517702,-0.35496877675065125,0.6261054109890473,0.23898622965166494,0.01568954196076936,0.8394174355054617,-0.23131882698959766,0.06573369157225101,-0.4920875190573231,0.22299740133568371,0.26002816187492916,-0.2533560846014776,-0.30615357812686533,0.4993408612893985,-0.2558370103538697,-0.852186013594729,-0.09815739796994866,0.2815902555133818,0.43273253086434305,1.0191281628819318,-0.0432262389028488,-0.0998716532035007
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P05,3,0.2,0.25295701431210327,0.12868623684012712,-0.6447513172593212,-0.6272656054940897,-0.5553468687624706,-0.31378769794920564,0.4088824482245948,-0.5718061684568638,-0.45416081601330893,0.1851408497306148,-0.22041705494033745,-0.10335239566629027,0.2186090260607238,0.8417957403169304,0.15246004015965933,0.22760607357596374,0.4515793376260544,-0.7728993043636708,0.02949334403606478,-0.19161491248637602,0.5054358602206314,0.07826477880816757,-0.14594857583271295,-0.3957608916064691,0.27904589208095754,-0.8540300983261577,-0.4622565303103736,-0.7821534424163025,0.04652136755480751,0.6718457547345736,0.820520478438874,0.12177220679950214,-0.38232866826452105
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P05,6,0.4,-0.057158407978790945,0.16419910880411676,-0.432146425791414,-0.4768853154370759,-0.3535854594027007,-1.0961805116416736,0.2616281944412889,-0.7476600540274996,-0.2716043974634921,0.43653909758355086,0.05552738422611175,-0.36323550682518385,-0.10069803453503914,0.9962707360142495,0.27403473068565054,-0.16966765038137002,0.7928216840320256,-0.4884414735289473,0.4284219591604813,-0.2970262720686999,0.34860543583712256,0.29472137091787404,-0.16252329988959344,-0.3760892172703705,0.06442696729501002,-0.3492537085834245,-0.7385911187303944,-0.1135631834169234,0.7681606325223569,0.08354106437237852,1.1759836457725932,-0.05510266992906426,-0.48618586596309465
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P05,9,0.6,0.12370481826371696,0.22731413797667488,-0.7300591606584865,-0.33531090183707435,-0.3589169906603418,-0.36431866901968823,0.32736514840548747,-0.4142572572577209,-0.3987842726748662,0.614331016509985,0.4192615126891819,0.19247458076802415,0.11504286731174557,0.43397354154258927,-0.30978041493739783,-0.29387663725709834,1.0897962128350944,-0.6261124989736164,-0.08548841233730416,-0.19724329450933706,0.13558439869762595,0.11855002915249638,-0.19673077310495113,-0.6225562318517286,0.04184527244333691,-0.4910080961068347,-0.6078774402259881,-0.4429308853961368,0.7593901352916806,0.21583360180903383,0.9703943862143476,0.2391868119807656,-0.4882777370916218
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P05,12,0.8,0.004829228259773138,0.31909467436687994,-0.3972578111073684,-0.4591535307056964,-0.1604292497775221,-0.6880328044788107,0.3495830467640118,-0.43118968379390943,-0.44541117783527095,0.40471487110830834,0.031200865583492943,0.06395322658111009,0.324371386314376,0.48467472429265634,0.06561710877096522,-0.10259921781293646,1.0248808993377687,-0.5298170449394886,0.5557071067988719,-0.16884759553508435,0.18856634047437856,0.12824748338176967,-0.0952852617221065,-0.3653303883974335,0.4939352045732025,-0.82020786949554,-0.39271297876191247,-0.13577450752970172,0.11685183321608694,0.20241483138654634,0.777315726979023,-0.1694701019294761,-0.23669672354772167
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P05,15,1.0,-0.033754908333335734,-0.007500439450976171,-0.8968518683592822,-0.43662871779364437,-0.32547444888647825,-0.5587490001898556,0.45341732134036733,-0.34169585491694077,-0.3815397592798659,0.16634111240127925,-0.20730102927626842,-0.04688376594362623,0.011129826985941631,0.5560870178733988,0.24906982091739222,0.14095214089057911,0.8488350774434593,-0.5062864944244534,0.14574665949613919,-0.12676483061251403,0.019763413625053183,0.15382890909783983,0.04758422020198516,-0.3172620744813435,0.6757845566314402,-0.060800435867977454,-0.4583567025344786,-0.3474358617722284,0.2559890486783203,0.530515821203893,0.994817632668034,0.005906643145663845,-0.3390483339130673
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P06,0,0.0,0.16683839165933556,0.11049319216982559,-0.2593622149456455,-0.37466861944138335,-0.0153273127879031,0.46534697137603936,-0.38450835987150417,-0.02725788791320309,0.3893075223746194,0.3237378002554908,0.5356885706474788,-0.1505977049974136,-1.0183001604836497,-0.09712602615017416,-0.032243612430646974,0.199629060456605,0.48712506422528457,0.38261685544367785,0.6098599249799757,-0.11046278240472075,-0.2714345956311934,0.12421718645310109,0.26885576621215873,0.03713585547370547,0.3681377372556927,0.1260573872297953,0.2105274207483439,-0.26747458574934374,-0.5362050764807129,0.4606010466487645,0.3845001620760252,-0.3012651855009214,0.09073263393982534
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P06,3,0.2,-0.013710374443405449,0.32106124026009264,-0.08459177092831083,-0.7466794402136138,-0.13896273159938777,0.4593159009830477,-0.3826867273220846,0.43472586432041016,0.12348070913981665,0.4386027364694627,-0.14560628416757793,-0.3934619563941524,-0.5353314806276528,-0.16587151261560895,-0.22429071823216348,0.17121143926793242,0.40036690370702505,0.6064211478504806,0.4479062144042274,-0.030312934820461254,0.12989319126778887,0.07724432862475789,0.17245425695554606,-0.3477385190512427,0.37307679745039507,0.04058713787158244,0.2095585551651168,-0.40685855720316266,-0.40258354993102197,0.5963178508800243,0.48711338496739287,-0.2660615650774872,0.20444770501130638
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P06,6,0.4,0.5440210695868186,-0.2923532410957152,-0.1047796889999888,-0.8719236630807896,0.12926780292812695,0.2596740166110485,-0.7569368382199735,0.03520031202617724,-0.1473704862177556,0.2687264726442179,0.1090187704976002,-0.48911656407338955,-0.729274399477022,0.03900249890057994,0.14754572814365444,-0.27635911775552663,0.5590151015680643,0.6080320607948397,0.3410652831171798,0.14507887309554765,-0.40519535012782515,-0.08019193901800084,-0.09378231607679655,0.25051818763459816,0.269268608504843,0.2530225430993761,-0.00022819707115845356,-0.04736604171847508,-0.36957549146935603,0.3201775182051057,0.3789966629174131,-0.36248516476259396,-0.07061005361967868
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P06,9,0.6,0.22107954186706652,0.0537212888675042,0.0589123569997095,-0.5711334854245215,-0.13742630664557257,0.27810705739848995,-0.12798813792873415,0.1669311145611334,-0.19614230045058736,-0.10867254546140559,0.33543424214846285,-0.39096149365710464,-0.7687886483958822,-0.24861441229331624,0.22052553593259927,-0.0853425876847588,0.6037686293640052,0.49793089696015524,0.6975765684382962,0.07140967622133312,-0.4235560448061964,-0.029945532316138515,0.47541684532328665,0.15639974645259092,0.6973750277129482,-0.02179293021365513,0.34850573408470076,-0.04192996869176349,-0.2729333836612404,0.8965603361127941,0.5214076961555858,-0.04714989116617957,0.07254826787250454
S0_Control_Minimal_Drift,Human,Human,Tagore,Transcendental,S0_Control_Minimal_Drift|Human|Tagore|Transcendental|P06,12,0.8,0.22744734559220642,0.1353219325977505,0.189176235869098,-0.3495143310271596,0.04551376465289621,0.3275876641821871,-0.5284770566173438,-0.189581616610706,0.2114347609979024,0.49453923676255795,0.4529873821462088,-0.3666855026307448,-1.0289133292653123,-0.16548767085758861,0.08592280490256285,0.29017595437024,0.603532550287307,0.5468731248189964,0.35548435091841607,0.04745726015791558,-0.28793515210868054,-0.005242555028386872,0.3448001452680372,-0.035427767715659454,0.16776306499848664,0.3268256415785362,0.18036848696062624,0.05966082564280839,-0.3958096893147083,0.677823275820957,0.2957549152144372,-0.5466786489614821,0.16042717411085422
